time	index	sound_index
359.0341796875	5	23
370.22412109375	5	14
380.81396484375	5	18
390.6240234375	5	50
402.73388671875	5	32
412.23388671875	5	1
425.45361328125	5	13
436.12353515625	5	29
451.5234375	5	26
461.75341796875	5	12
472.203125	5	19
483.1328125	5	22
493.44287109375	5	34
502.892578125	5	11
516.66259765625	5	3
529.1826171875	5	25
537.482421875	5	43
549.0810546875	5	36
564.61083984375	5	44
576.970703125	5	46
588.61083984375	5	28
599.29052734375	5	6
610.25048828125	5	7
621.650390625	5	10
632.150390625	5	33
641.64990234375	5	35
671.2197265625	5	30
679.58984375	5	37
692.4794921875	5	40
704.279296875	5	9
716.72900390625	5	38
728.55908203125	5	27
737.6591796875	5	5
749.5390625	5	39
762.0478515625	5	24
774.5478515625	5	8
786.2978515625	5	47
800.4677734375	5	45
812.267578125	5	2
823.17724609375	5	21
835.3671875	5	17
845.2470703125	5	42
855.65673828125	5	15
865.38671875	5	31
876.20654296875	5	20
885.2666015625	5	48
894.6865234375	5	4
905.59619140625	5	16
917.80615234375	5	41
1006.88525390625	5	49
1096.9443359375	4	47
1108.18408203125	4	4
1119.244140625	4	25
1128.03369140625	4	43
1139.90380859375	4	50
1149.62353515625	4	27
1158.853515625	4	17
1170.783203125	4	19
1184.38330078125	4	21
1197.54296875	4	11
1208.60302734375	4	31
1218.79296875	4	12
1229.6328125	4	30
1238.04248046875	4	10
1248.50244140625	4	37
1262.62255859375	4	13
1272.93212890625	4	35
1289.67138671875	4	42
1301.94091796875	4	1
1313.35107421875	4	39
1324.10107421875	4	38
1334.1005859375	4	49
1345.6005859375	4	29
1354.34033203125	4	36
1366.7001953125	4	3
1376.93017578125	4	24
1386.89013671875	4	48
1396.64013671875	4	7
1407.31982421875	4	46
1420.419921875	4	5
1432.81982421875	4	14
1443.349609375	4	20
1452.36962890625	4	28
1461.00927734375	4	6
1470.58837890625	4	32
1479.3984375	4	33
1489.83837890625	4	15
1499.998046875	4	18
1509.748046875	4	45
1521.64794921875	4	41
1535.09765625	4	16
1545.1474609375	4	40
1555.7275390625	4	44
1566.05712890625	4	22
1573.75732421875	4	23
1583.037109375	4	9
1592.947265625	4	2
1604.19677734375	4	34
1613.78662109375	4	8
1623.62646484375	4	26
1715.935546875	2	24
1727.1455078125	2	41
1738.775390625	2	46
1750.38525390625	2	10
1765.31494140625	2	1
1776.97509765625	2	14
1787.8447265625	2	50
1800.07470703125	2	34
1810.86474609375	2	25
1822.654296875	2	9
1838.3740234375	2	48
1848.71435546875	2	42
1863.673828125	2	23
1874.1337890625	2	15
1884.24365234375	2	2
1895.193359375	2	21
1902.8134765625	2	44
1914.78271484375	2	17
1927.38232421875	2	5
1938.29248046875	2	29
1946.51220703125	2	4
1958.05224609375	2	40
1969.001953125	2	37
1979.83203125	2	38
1990.58154296875	2	8
2002.9814453125	2	28
2011.88134765625	2	30
2020.0615234375	2	32
2028.4912109375	2	18
2038.81103515625	2	3
2049.43115234375	2	16
2059.23095703125	2	6
2069.6005859375	2	12
2080.060546875	2	13
2090.8896484375	2	22
2101.259765625	2	19
2111.45947265625	2	33
2120.36962890625	2	20
2129.0595703125	2	7
2139.45947265625	2	27
2149.42919921875	2	47
2161.2490234375	2	11
2171.4189453125	2	26
2180.18896484375	2	49
2190.03857421875	2	39
2201.45849609375	2	43
2211.62841796875	2	45
2223.7880859375	2	31
2232.62841796875	2	36
2244.00830078125	2	35
