"","comparison","r_med","r_05","r_95","r_pd"
"1","global_early",0.659842198552764,-0.314911755893101,1.63755507973503,0.86225
"2","global_late",-0.918637784163668,-1.47436865400497,-0.364945068843205,0.9975
"3","object_early",2.50561724000575,0.992329479487801,4.23216109983041,0.99725
"4","object_late",-3.09668591840855,-5.1077106881028,-1.0824398788112,0.99425
"5","spatial_early",0.893042184816133,-0.230559425592627,2.13734303972101,0.89975
"6","spatial_late",-1.27379056437376,-2.90258478605532,0.295117017022683,0.90675
