exp_id,first_task,trial_idx,dev_time,trial_len,dev_speaker,dev_direction,right_switches_1,right_switches_2,right_switches_3,left_switches_1,left_switches_2,left_switches_3,left_switches_4,left_switches_5,direction_timing,dev_timer,block_type,trial_order,is_dev,sbj_answer,perf,sbj_id,num_switches,pre_right_switch,pre_side_switch,pre_direction_switch,post_right_switch,post_left_switch,len_prev_speaker
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,1,1,0,miss,42,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,10,1,1,hit,42,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,28,1,0,miss,42,2,0,0,-0.657,4.143,2.943,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,feature,1,1,1,hit,42,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,feature,6,1,1,hit,42,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,feature,11,1,1,hit,42,2,0,0,-0.657,4.143,2.943,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,6,1,1,hit,45,2,0,0,-0.657,4.143,2.943,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,16,1,1,hit,45,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,26,1,1,hit,45,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,feature,8,1,1,hit,45,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,feature,21,1,1,hit,45,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,feature,24,1,0,miss,45,2,0,0,-0.657,4.143,2.943,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,6,1,1,hit,51,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,10,1,1,hit,51,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,30,1,1,hit,51,2,0,0,-0.657,4.143,2.943,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,feature,1,1,0,miss,51,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,feature,28,1,1,hit,51,2,0,0,-0.657,4.143,2.943,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,feature,30,1,1,hit,51,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,7,1,1,hit,52,2,0,0,-0.657,4.143,2.943,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,9,1,1,hit,52,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,20,1,0,miss,52,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,feature,1,1,1,hit,52,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,feature,2,1,1,hit,52,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,feature,27,1,1,hit,52,2,0,0,-0.657,4.143,2.943,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,8,1,1,hit,53,2,0,0,-0.657,4.143,2.943,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,15,1,1,hit,53,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,26,1,0,miss,53,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,feature,12,1,0,miss,53,2,0,0,-0.657,4.143,2.943,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,feature,16,1,1,hit,53,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,feature,28,1,1,hit,53,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,7,1,1,hit,54,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,12,1,1,hit,54,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,23,1,1,hit,54,2,0,0,-0.657,4.143,2.943,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,feature,9,1,0,miss,54,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,feature,15,1,0,miss,54,2,0,0,-0.657,4.143,2.943,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,feature,27,1,1,hit,54,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,3,1,1,hit,55,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,13,1,1,hit,55,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,19,1,0,miss,55,2,0,0,-0.657,4.143,2.943,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,feature,8,1,1,hit,55,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,feature,10,1,1,hit,55,2,0,0,-0.657,4.143,2.943,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,feature,29,1,0,miss,55,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,13,1,1,hit,56,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,19,1,0,miss,56,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,21,1,1,hit,56,2,0,0,-0.657,4.143,2.943,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,feature,1,1,0,miss,56,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,feature,2,1,1,hit,56,2,0,0,-0.657,4.143,2.943,3.143
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,feature,21,1,1,hit,56,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,38,6.5275283446712,8.57977324263039,2,right,3.5715,5.7285,,2.3715,4.2285,5.0715,6.9285,,0.799028344671202,0.760804296346414,test,5,1,1,hit,57,2,0,0,-0.657,2.85127324263039,1.2,3.243
13,right,36,7.23555555555556,9.55501133786848,2,right,2.4715,4.5285,8.6715,1.2715,3.1285,3.8715,5.7285,7.4715,2.70705555555556,0.757252430133657,test,22,1,1,hit,57,2,0,0,-0.657,4.143,2.943,3.143
13,right,37,7.42290249433107,9.09061224489796,2,right,3.6715,5.7285,,2.4715,4.3285,5.0715,6.9285,,1.69440249433107,0.816545937100894,test,24,1,1,hit,57,2,0,0,-0.657,3.36211224489796,3.36211224489796,3.143
